group,specification,history,minimum_articles,hac_lags,variable,n,n_hamas,n_taliban,n_farc,estimator,estimate,standard_error,p_value,ci_low,ci_high,uncertainty,joint_mle_success,fdr_p
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,fatalities_present,183,75,75,33,joint_mle,1.031568676378639,0.5322468858401725,0.05260621392513603,-0.011635219868099345,2.074772572625377,inverse integrated-likelihood information,True,0.07890932088770404
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,direct_conflict_relevance,171,70,69,32,naive,1.690415667424304,1.470547339163658,0.2503438413005489,-1.1918571173364656,4.572688452185074,conditional actor-specific HAC,,0.3755157619508233
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,direct_conflict_relevance,171,70,69,32,direct,1.1023665587089837,0.9959859615705766,0.2683763718425911,-0.8497659259693464,3.054499043387314,conditional actor-specific HAC,,0.40256455776388667
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,direct_conflict_relevance,171,70,69,32,bca,1.234808344839618,0.9959859615705766,0.21505496883725672,-0.717324139838712,3.1869408295179484,conditional actor-specific HAC,,0.3225824532558851
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,direct_conflict_relevance,171,70,69,32,bcm,1.2528930738922064,0.9959859615705766,0.20841255073487502,-0.6992394107861237,3.2050255585705365,conditional actor-specific HAC,,0.3126188261023125
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,direct_conflict_relevance,171,70,69,32,joint_mle,0.9688367251332329,0.7279430308996951,0.18321407599286763,-0.45793161543016947,2.3956050656966354,inverse integrated-likelihood information,True,0.2748211139893014
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,physical_violence,171,70,69,32,naive,1.857274235836471,0.9753850666896432,0.056891350742177986,-0.054480494875229546,3.7690289665481718,conditional actor-specific HAC,,0.17067405222653395
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,physical_violence,171,70,69,32,direct,1.29473768958971,0.6841510359500022,0.058427924287465474,-0.04619834087229413,2.635673720051714,conditional actor-specific HAC,,0.17528377286239644
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,physical_violence,171,70,69,32,bca,1.4370511847052545,0.6841510359500022,0.035685916693718206,0.09611515424325034,2.7779872151672587,conditional actor-specific HAC,,0.10705775008115462
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,physical_violence,171,70,69,32,bcm,1.4546255561815873,0.6841510359500022,0.03348860241871486,0.11368952571958313,2.7955615866435917,conditional actor-specific HAC,,0.10046580725614458
